sex,avebooks,readprint,readaudio,readebook
Male,20,1,0,1
Female,10,1,0,0
Female,6,1,0,1
Female,4,2,0,1
Female,20,1,0,0
Female,1,2,0,0
Male,10,0,0,0
Female,6,3,0,0
Male,4,0,0,0
Female,38,5,0,1
Male,21,1,0,0
Female,20,4,0,2
Male,4,3,0,1
Female,9,2,0,0
Male,5,6,0,1
Female,35,3,0,3
Male,5,1,0,0
Female,6,3,1,2
Male,13,6,0,3
Female,8,3,1,0
Male,17,3,0,1
Female,20,1,1,0
Male,2,1,0,0
Female,4,2,0,0
Female,10,1,0,0
Female,26,2,1,0
Male,40,0,0,0
Female,6,1,0,0
Female,5,1,0,0
Female,3,1,0,0
Female,50,1,0,0
Female,5,1,0,0
Male,5,1,0,0
Female,2,1,0,0
Female,6,1,1,0
Female,14,3,0,1
Female,8,2,1,2
Male,30,1,0,0
Female,6,1,0,0
Male,15,2,0,0
Female,5,1,0,1
Female,5,2,0,0
Male,3,1,0,0
Female,34,4,1,2
Male,30,1,1,0
Female,30,3,0,1
Male,6,0,1,0
Female,66,2,0,1
Male,15,1,0,0
Female,50,0,0,1
Male,15,1,0,0
Female,39,4,0,1
Female,16,6,0,1
Male,20,2,0,1
Female,18,7,2,7
Male,18,6,1,1
Female,35,8,1,6
Male,19,20,3,11
Female,30,6,2,3
Male,12,1,0,1
Female,10,1,1,1
Female,4,1,0,0
Male,6,1,0,0
Male,14,1,0,0
Female,14,2,1,2
Female,12,1,2,2
Male,3,1,0,0
Female,20,1,0,0
Male,3,1,0,0
Female,50,1,0,0
Female,97,1,1,1
Male,17,2,1,1
Male,12,1,1,1
Female,8,1,0,1
Male,10,2,0,0
Male,2,1,0,0
Male,10,1,1,1
Male,15,1,0,1
Female,97,1,0,1
Female,12,1,1,1
Male,6,1,1,0
Female,97,1,0,0
Female,40,1,0,1
Female,10,2,1,2
Female,11,2,0,0
Male,3,1,0,0
Female,11,1,0,1
Male,5,2,0,0
Female,38,4,1,3
Male,8,3,0,0
Female,8,4,0,2
Male,16,6,1,1
Female,35,3,1,2
Male,12,6,1,3
Female,13,4,1,2
Male,8,7,2,1
Female,24,6,1,4
Male,2,1,0,0
Female,2,1,0,0
Male,4,2,0,0
Female,12,1,0,0
Male,97,1,0,0
Female,9,3,0,1
Male,5,1,0,0
Female,12,1,0,0
Male,24,1,0,0
Female,49,4,2,2
Female,5,2,0,1
Female,6,1,0,0
Female,2,1,0,0
Female,19,2,0,1
Male,5,1,1,0
Female,80,1,0,0
Male,4,1,0,0
Female,27,2,1,0
Male,36,1,0,0
Male,20,1,0,1
Female,50,1,0,0
Female,55,3,1,0
Male,21,3,0,2
Female,61,2,1,0
Male,12,1,0,1
Male,9,1,0,0
Female,12,1,0,0
Female,41,3,1,0
Male,10,2,0,0
Female,3,2,0,0
Male,22,3,0,1
Female,12,5,2,3
Male,5,1,0,1
Female,25,11,1,2
Male,10,3,0,2
Female,25,8,4,7
Male,16,19,7,10
Female,18,4,1,1
Male,14,5,1,2
Female,24,1,1,0
Female,44,3,2,2
Male,30,1,1,1
Female,97,1,0,0
Female,24,1,0,1
Male,30,1,0,1
Female,96,1,0,0
Male,3,1,0,0
Female,30,2,0,0
Male,6,1,0,0
Female,15,1,0,0
Male,3,1,0,0
Female,3,1,1,1
Female,24,2,0,0
Female,2,1,0,0
Female,6,1,0,0
Male,5,0,0,0
Female,30,0,0,0
Male,4,1,0,0
Male,3,1,0,0
Male,8,1,0,0
Female,1,1,0,0
Female,1,1,0,0
Female,25,1,0,0
Female,8,2,0,0
Male,70,1,0,0
Male,15,1,0,0
Female,12,1,0,0
Male,1,1,0,0
Female,15,1,0,1
Female,3,1,0,0
Female,30,1,0,0
Male,1,1,0,0
Female,20,1,0,0
Female,39,2,0,0
Female,12,1,1,0
Female,0,1,0,0
Male,2,1,0,0
Male,1,0,1,1
Female,4,2,0,0
Male,8,1,0,0
Female,3,1,1,0
Male,4,1,1,0
Male,3,1,0,0
Male,24,2,0,0
Female,15,1,0,0
Female,6,1,0,0
Male,6,1,0,0
Female,2,1,1,0
Female,17,2,0,1
Female,30,1,0,0
Female,5,1,0,0
Male,11,1,0,0
Male,5,1,0,0
Male,2,1,0,0
Female,3,1,0,0
Female,2,1,0,0
Female,2,1,1,0
Male,3,2,0,0
Female,4,1,1,1
